code,name,level,units,hours,student_count,course_type,lecturer_staff_id,department_code,shared_department_codes,group_id
IFT404,Digital Transformation,400,2,2,110,departmental,STF004,IFT,,,
IFT405,Final Year Project I,400,3,3,110,departmental,STF005,IFT,,,
IFT501,Advanced Data Analytics,500,3,3,70,departmental,STF001,IFT,,,
IFT502,IT Strategy,500,2,2,70,departmental,STF002,IFT,,,
IFT503,Emerging Technologies,500,3,3,70,departmental,STF003,IFT,,,
IFT504,IT Audit and Compliance,500,2,2,70,departmental,STF004,IFT,,,
IFT505,Final Year Project II,500,6,6,70,departmental,STF005,IFT,,,

SWE101,Introduction to Software Engineering,100,3,3,160,departmental,STF006,SWE,,,
SWE102,Programming Fundamentals,100,3,3,160,departmental,STF007,SWE,,,
SWE103,Software Requirements Engineering,100,2,2,160,departmental,STF008,SWE,,,
SWE104,Introduction to UX Design,100,2,2,160,departmental,STF009,SWE,,,
SWE105,Version Control Systems,100,2,2,160,departmental,STF010,SWE,,,
SWE201,Software Design Patterns,200,3,3,140,departmental,STF006,SWE,,,
SWE202,Agile Development,200,3,3,140,departmental,STF007,SWE,,,
SWE203,Software Testing,200,3,3,140,departmental,STF008,SWE,,,
SWE204,Mobile App Development,200,2,2,140,departmental,STF009,SWE,,,
SWE205,API Design and Development,200,2,2,140,departmental,STF010,SWE,,,
SWE301,Advanced Software Architecture,300,3,3,120,departmental,STF006,SWE,,,
SWE302,DevSecOps,300,3,3,120,departmental,STF007,SWE,,,
SWE303,Microservices Architecture,300,2,2,120,departmental,STF008,SWE,,,
SWE304,Software Quality Assurance,300,2,2,120,departmental,STF009,SWE,,,
SWE305,Full Stack Development,300,3,3,120,departmental,STF010,SWE,,,
SWE401,Cloud-Native Development,400,3,3,100,departmental,STF006,SWE,,,
SWE402,AI-Assisted Development,400,3,3,100,departmental,STF007,SWE,,,
SWE403,Software Maintenance,400,2,2,100,departmental,STF008,SWE,,,
SWE404,Product Management,400,2,2,100,departmental,STF009,SWE,,,
SWE405,Final Year Project I,400,3,3,100,departmental,STF010,SWE,,,
SWE501,Distributed Software Systems,500,3,3,65,departmental,STF006,SWE,,,
SWE502,Software Entrepreneurship,500,2,2,65,departmental,STF007,SWE,,,
SWE503,Open Source Development,500,3,3,65,departmental,STF008,SWE,,,
SWE504,Advanced Testing Strategies,500,2,2,65,departmental,STF009,SWE,,,
SWE505,Final Year Project II,500,6,6,65,departmental,STF010,SWE,,,
